trip_id,stop_id,stop_sequence,arrival_time,departure_time
L1_trip_0,L1_0,0,21600,21600
L1_trip_0,L1_1,1,21720,21720
L1_trip_0,L1_2,2,21840,21840
L1_trip_0,L1_3,3,21960,21960
L1_trip_0,L1_4,4,22080,22080
L1_trip_0,L1_5,5,22200,22200
L1_trip_0,L1_6,6,22320,22320
L1_trip_0,L1_7,7,22440,22440
L1_trip_0,L1_8,8,22560,22560
L1_trip_0,L1_9,9,22680,22680
L1_trip_0,L1_10,10,22800,22800
L1_trip_0,L1_11,11,22920,22920
L1_trip_0,L1_12,12,23040,23040
L1_trip_0,L1_13,13,23160,23160
L1_trip_0,L1_14,14,23280,23280
L1_trip_0,L1_15,15,23400,23400
L1_trip_0,L1_16,16,23520,23520
L1_trip_0,L1_17,17,23640,23640
L1_trip_0,L1_18,18,23760,23760
L1_trip_0,L1_19,19,23880,23880
L1_trip_0,L1_20,20,24000,24000
L1_trip_0,L1_21,21,24120,24120
L1_trip_0,L1_22,22,24240,24240
L1_trip_0,L1_23,23,24360,24360
L1_trip_0,L1_24,24,24480,24480
L1_trip_0,L1_25,25,24600,24600
L1_trip_0,L1_26,26,24720,24720
L1_trip_0,L1_27,27,24840,24840
L1_trip_0,L1_28,28,24960,24960
L1_trip_1,L1_0,0,22200,22200
L1_trip_1,L1_1,1,22320,22320
L1_trip_1,L1_2,2,22440,22440
L1_trip_1,L1_3,3,22560,22560
L1_trip_1,L1_4,4,22680,22680
L1_trip_1,L1_5,5,22800,22800
L1_trip_1,L1_6,6,22920,22920
L1_trip_1,L1_7,7,23040,23040
L1_trip_1,L1_8,8,23160,23160
L1_trip_1,L1_9,9,23280,23280
L1_trip_1,L1_10,10,23400,23400
L1_trip_1,L1_11,11,23520,23520
L1_trip_1,L1_12,12,23640,23640
L1_trip_1,L1_13,13,23760,23760
L1_trip_1,L1_14,14,23880,23880
L1_trip_1,L1_15,15,24000,24000
L1_trip_1,L1_16,16,24120,24120
L1_trip_1,L1_17,17,24240,24240
L1_trip_1,L1_18,18,24360,24360
L1_trip_1,L1_19,19,24480,24480
L1_trip_1,L1_20,20,24600,24600
L1_trip_1,L1_21,21,24720,24720
L1_trip_1,L1_22,22,24840,24840
L1_trip_1,L1_23,23,24960,24960
L1_trip_1,L1_24,24,25080,25080
L1_trip_1,L1_25,25,25200,25200
L1_trip_1,L1_26,26,25320,25320
L1_trip_1,L1_27,27,25440,25440
L1_trip_1,L1_28,28,25560,25560
L1_trip_2,L1_0,0,22800,22800
L1_trip_2,L1_1,1,22920,22920
L1_trip_2,L1_2,2,23040,23040
L1_trip_2,L1_3,3,23160,23160
L1_trip_2,L1_4,4,23280,23280
L1_trip_2,L1_5,5,23400,23400
L1_trip_2,L1_6,6,23520,23520
L1_trip_2,L1_7,7,23640,23640
L1_trip_2,L1_8,8,23760,23760
L1_trip_2,L1_9,9,23880,23880
L1_trip_2,L1_10,10,24000,24000
L1_trip_2,L1_11,11,24120,24120
L1_trip_2,L1_12,12,24240,24240
L1_trip_2,L1_13,13,24360,24360
L1_trip_2,L1_14,14,24480,24480
L1_trip_2,L1_15,15,24600,24600
L1_trip_2,L1_16,16,24720,24720
L1_trip_2,L1_17,17,24840,24840
L1_trip_2,L1_18,18,24960,24960
L1_trip_2,L1_19,19,25080,25080
L1_trip_2,L1_20,20,25200,25200
L1_trip_2,L1_21,21,25320,25320
L1_trip_2,L1_22,22,25440,25440
L1_trip_2,L1_23,23,25560,25560
L1_trip_2,L1_24,24,25680,25680
L1_trip_2,L1_25,25,25800,25800
L1_trip_2,L1_26,26,25920,25920
L1_trip_2,L1_27,27,26040,26040
L1_trip_2,L1_28,28,26160,26160
L1_trip_3,L1_0,0,23400,23400
L1_trip_3,L1_1,1,23520,23520
L1_trip_3,L1_2,2,23640,23640
L1_trip_3,L1_3,3,23760,23760
L1_trip_3,L1_4,4,23880,23880
L1_trip_3,L1_5,5,24000,24000
L1_trip_3,L1_6,6,24120,24120
L1_trip_3,L1_7,7,24240,24240
L1_trip_3,L1_8,8,24360,24360
L1_trip_3,L1_9,9,24480,24480
L1_trip_3,L1_10,10,24600,24600
L1_trip_3,L1_11,11,24720,24720
L1_trip_3,L1_12,12,24840,24840
L1_trip_3,L1_13,13,24960,24960
L1_trip_3,L1_14,14,25080,25080
L1_trip_3,L1_15,15,25200,25200
L1_trip_3,L1_16,16,25320,25320
L1_trip_3,L1_17,17,25440,25440
L1_trip_3,L1_18,18,25560,25560
L1_trip_3,L1_19,19,25680,25680
L1_trip_3,L1_20,20,25800,25800
L1_trip_3,L1_21,21,25920,25920
L1_trip_3,L1_22,22,26040,26040
L1_trip_3,L1_23,23,26160,26160
L1_trip_3,L1_24,24,26280,26280
L1_trip_3,L1_25,25,26400,26400
L1_trip_3,L1_26,26,26520,26520
L1_trip_3,L1_27,27,26640,26640
L1_trip_3,L1_28,28,26760,26760
L1_trip_4,L1_0,0,24000,24000
L1_trip_4,L1_1,1,24120,24120
L1_trip_4,L1_2,2,24240,24240
L1_trip_4,L1_3,3,24360,24360
L1_trip_4,L1_4,4,24480,24480
L1_trip_4,L1_5,5,24600,24600
L1_trip_4,L1_6,6,24720,24720
L1_trip_4,L1_7,7,24840,24840
L1_trip_4,L1_8,8,24960,24960
L1_trip_4,L1_9,9,25080,25080
L1_trip_4,L1_10,10,25200,25200
L1_trip_4,L1_11,11,25320,25320
L1_trip_4,L1_12,12,25440,25440
L1_trip_4,L1_13,13,25560,25560
L1_trip_4,L1_14,14,25680,25680
L1_trip_4,L1_15,15,25800,25800
L1_trip_4,L1_16,16,25920,25920
L1_trip_4,L1_17,17,26040,26040
L1_trip_4,L1_18,18,26160,26160
L1_trip_4,L1_19,19,26280,26280
L1_trip_4,L1_20,20,26400,26400
L1_trip_4,L1_21,21,26520,26520
L1_trip_4,L1_22,22,26640,26640
L1_trip_4,L1_23,23,26760,26760
L1_trip_4,L1_24,24,26880,26880
