stop_id,stop_name,stop_lat,stop_lon
L1_0,Bayóvar,-12.056576,-76.988678
L1_1,Santa Rosa,-12.064914,-76.991065
L1_2,San Martín,-12.072545,-76.993905
L1_3,San Carlos,-12.080321,-76.997657
L1_4,Los Postes,-12.088242,-77.002489
L1_5,Los Jardines,-12.095524,-77.00875
L1_6,Sanita Anita,-12.102135,-77.01542
L1_7,Colectora Industrial,-12.107985,-77.022973
L1_8,Hermilio Valdizán,-12.11275,-77.030785
L1_9,Mercado Santa Anita,-12.115101,-77.038791
L1_10,Vicuña,-12.115387,-77.047015
L1_11,Canto Grande,-12.113868,-77.054403
L1_12,Reggio,-12.11202,-77.0617
L1_13,San Martín de Porres,-12.108186,-77.073665
L1_14,Presbítero Maestro,-12.105815,-77.082636
L1_15,Caja de Agua,-12.10392,-77.089195
L1_16,Pirámides del Sol,-12.100012,-77.094764
L1_17,Miguel Grau,-12.09537,-77.09979
L1_18,El Ángel,-12.089919,-77.10492
L1_19,Gamarra,-12.083669,-77.109454
L1_20,Estación Central,-12.077447,-77.113821
L1_21,Arriola,-12.070421,-77.1172
L1_22,La Cultura,-12.062383,-77.12004
L1_23,San Borja Sur,-12.053723,-77.122238
L1_24,San Borja Norte,-12.046047,-77.124133
L1_25,Angamos,-12.037825,-77.125775
L1_26,Cabella,-12.029581,-77.127674
L1_27,Villa María,-12.020151,-77.130651
L1_28,Atocongo,-12.01052,-77.134403
L2_0,Puerto de Callao,-12.027,-77.1503
L2_1,Buenos Aires,-12.0322,-77.143
L2_2,Carmen de la Legua,-12.038,-77.1338
L2_3,Oscar R. Benavides,-12.0422,-77.124
L2_4,Óvalo Santa Anita,-12.04,-77.036
L2_5,Estación Central (L2),-12.045,-77.04
