route_id,trip_id,direction_id
L1,L1_trip_0,0
L1,L1_trip_1,1
L1,L1_trip_2,0
L1,L1_trip_3,1
L1,L1_trip_4,0
L1,L1_trip_5,1
L1,L1_trip_6,0
L1,L1_trip_7,1
L1,L1_trip_8,0
L1,L1_trip_9,1
L1,L1_trip_10,0
L1,L1_trip_11,1
L1,L1_trip_12,0
L1,L1_trip_13,1
L1,L1_trip_14,0
L1,L1_trip_15,1
L1,L1_trip_16,0
L1,L1_trip_17,1
L1,L1_trip_18,0
L1,L1_trip_19,1
L1,L1_trip_20,0
L1,L1_trip_21,1
L1,L1_trip_22,0
L1,L1_trip_23,1
L1,L1_trip_24,0
L1,L1_trip_25,1
L1,L1_trip_26,0
L1,L1_trip_27,1
L1,L1_trip_28,0
L1,L1_trip_29,1
L1,L1_trip_30,0
L1,L1_trip_31,1
L1,L1_trip_32,0
L1,L1_trip_33,1
L1,L1_trip_34,0
L1,L1_trip_35,1
L1,L1_trip_36,0
L1,L1_trip_37,1
L1,L1_trip_38,0
L1,L1_trip_39,1
L1,L1_trip_40,0
L1,L1_trip_41,1
L1,L1_trip_42,0
L1,L1_trip_43,1
L1,L1_trip_44,0
L1,L1_trip_45,1
L1,L1_trip_46,0
L1,L1_trip_47,1
L1,L1_trip_48,0
L1,L1_trip_49,1
L2,L2_trip_0,0
L2,L2_trip_1,1
L2,L2_trip_2,0
L2,L2_trip_3,1
L2,L2_trip_4,0
L2,L2_trip_5,1
L2,L2_trip_6,0
L2,L2_trip_7,1
L2,L2_trip_8,0
L2,L2_trip_9,1
L2,L2_trip_10,0
L2,L2_trip_11,1
L2,L2_trip_12,0
L2,L2_trip_13,1
L2,L2_trip_14,0
L2,L2_trip_15,1
L2,L2_trip_16,0
L2,L2_trip_17,1
L2,L2_trip_18,0
L2,L2_trip_19,1
L2,L2_trip_20,0
L2,L2_trip_21,1
L2,L2_trip_22,0
L2,L2_trip_23,1
L2,L2_trip_24,0
L2,L2_trip_25,1
L2,L2_trip_26,0
L2,L2_trip_27,1
L2,L2_trip_28,0
L2,L2_trip_29,1
L2,L2_trip_30,0
L2,L2_trip_31,1
L2,L2_trip_32,0
L2,L2_trip_33,1
L2,L2_trip_34,0
L2,L2_trip_35,1
L2,L2_trip_36,0
L2,L2_trip_37,1
L2,L2_trip_38,0
L2,L2_trip_39,1
L2,L2_trip_40,0
L2,L2_trip_41,1
L2,L2_trip_42,0
L2,L2_trip_43,1
L2,L2_trip_44,0
L2,L2_trip_45,1
L2,L2_trip_46,0
L2,L2_trip_47,1
L2,L2_trip_48,0
L2,L2_trip_49,1
