Zona,Distrito,Población,Dist_estación_(m),Precio_base_S/,Prima_proximidad,Precio_con_metro_S/,Plusvalía_S/
Z01,Lima (Cercado),280000,776.2579856427135,8000.0,0.08118710071786432,8649.496805742916,649.496805742916
Z02,San Juan de Lurigancho,1100000,1233.1777880870275,5600.0,0.0,5600.0,0.0
Z03,Comas,540000,553.234232522527,4800.0,0.09233828837387366,5243.2237841945935,443.22378419459346
Z04,Los Olivos,380000,544.6987392146164,5600.0,0.09276506303926918,6119.484353019907,519.4843530199068
Z05,San Martín de Porres,650000,1221.7372965663058,5600.0,0.0,5600.0,0.0
Z06,Independencia,220000,2723.3267104401093,5600.0,0.0,5600.0,0.0
Z07,Rímac,180000,553.2323543272457,6400.0,0.09233838228363771,6990.965646615281,590.965646615281
Z08,Breña / Pueblo Libre,150000,2177.9862873435645,8800.0,0.0,8800.0,0.0
Z09,Jesús María / Magdalena,160000,1221.389660457392,11200.0,0.0,11200.0,0.0
Z10,La Victoria,180000,1058.3762633008482,7200.0,0.0,7200.0,0.0
Z11,Santa Anita,240000,544.5383960235488,5600.0,0.09277308019882256,6119.529249113406,519.529249113406
Z12,Ate,650000,1233.1804100249308,4800.0,0.0,4800.0,0.0
Z13,El Agustino,210000,1106.4593671274188,5600.0,0.0,5600.0,0.0
Z14,Miraflores / San Isidro,150000,0.0,20000.0,0.12,22400.000000000004,2400.0000000000036
Z15,San Borja / Surco,380000,263.2160941332121,14400.0,0.10683919529333939,15938.484412224087,1538.4844122240866
Z16,La Molina,180000,1329.8492441876908,12000.0,0.0,12000.0,0.0
Z17,Barranco / Chorrillos,150000,2510.315854825895,9600.0,0.0,9600.0,0.0
Z18,San Juan de Miraflores,420000,4389.612352934595,4800.0,0.0,4800.0,0.0
Z19,Villa María del Triunfo,450000,6680.019842086042,4000.0,0.0,4000.0,0.0
Z20,Villa El Salvador,400000,2766.185006160818,4000.0,0.0,4000.0,0.0
Z21,Callao (Cercado),420000,2112.0363097406207,5600.0,0.0,5600.0,0.0
Z22,Callao (Carmen / Bellavista),180000,257.554086862314,6400.0,0.1071222956568843,7085.58269220406,685.5826922040596
Z23,Lurín / Pachacámac,150000,7988.502059298041,4000.0,0.0,4000.0,0.0
Z24,Puente Piedra,350000,1106.4718029153378,3200.0,0.0,3200.0,0.0
Z25,Chancay / Huacho (Norte),300000,19611.21496690421,2400.0,0.0,2400.0,0.0
Z26,Cañete / Chincha (Sur),350000,22712.13051439349,2400.0,0.0,2400.0,0.0
Z27,Ica,280000,0.0,3200.0,0.12,3584.0000000000005,384.00000000000045
