zone_id,district,population,employment,trips_produced,trips_attracted
Z01,Lima (Cercado),273142,300456,341427,1216414
Z02,San Juan de Lurigancho,1114319,200577,1392898,812047
Z03,Comas,553537,110707,691921,448203
Z04,Los Olivos,343878,85969,429847,348049
Z05,San Martín de Porres,704999,155099,881248,627927
Z06,Independencia,219163,54790,273953,221820
Z07,Rímac,179011,44752,223763,181181
Z08,Breña / Pueblo Libre,179613,71845,224516,290868
Z09,Jesús María / Magdalena,139611,62824,174513,254346
Z10,La Victoria,189083,113449,236353,459304
Z11,Santa Anita,213072,63921,266340,258787
Z12,Ate,624172,156043,780215,631749
Z13,El Agustino,212165,46676,265206,188970
Z14,Miraflores / San Isidro,168423,202107,210528,818242
Z15,San Borja / Surco / Surquillo,653841,424996,817301,1720622
Z16,La Molina / Chaclacayo / Lurigancho,453308,113327,566635,458811
Z17,Barranco / Chorrillos / San Miguel,596129,208645,745161,844711
Z18,San Juan de Miraflores,401098,80219,501372,324771
Z19,Villa María del Triunfo,424064,76331,530080,309030
Z20,Villa El Salvador,414000,74520,517500,301698
Z21,Callao (Cercado / Ventanilla),858584,300504,1073230,1216608
Z22,Callao (Bellavista / Carmen / La Perla),188369,56510,235461,228783
Z23,Lurín / Pachacámac / Sur costero,303851,60770,379813,246030
Z24,Puente Piedra / Carabayllo / Ancón,801843,160368,1002303,649259
Z25,Chancay / Huacho (Norte),441560,110390,551950,446920
Z26,Cañete / Chincha (Sur),493137,108490,616421,439227
Z27,Ica,407286,122185,509107,494672
