,Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z09,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27
Z01,5.0,35.69836846669454,72.88798106504618,60.45355275328124,48.86393047288218,46.49315983778742,18.0647442496131,24.668737890877107,44.192089364973754,17.82062319388165,18.679119620259918,27.11072076939745,9.354835454146702,45.34362455165267,45.58929340988207,40.73265637792125,61.85336556400337,69.1025753559854,88.70754226207896,80.27900245346925,75.03167284472732,64.17964345142522,134.1544994070427,126.44578771776779,578.21599818855,865.4109241443774,1473.085735431984
Z02,35.69836846669454,5.0,68.23859667929509,62.82512750546687,59.06059767898007,44.96488613386,39.77411298215509,55.361132326143554,74.71567267153681,42.73148541982348,22.42005513138183,13.710106760226095,40.01456786010882,73.6103546678152,67.87784684790071,37.446963462727815,90.85203760283171,86.46352462280454,104.67715358788406,104.22544651778884,101.22647600517318,87.45420703100079,136.6922252883363,117.28451665358051,574.87272476599,868.0402573369175,1476.6682479860333
Z03,72.88798106504618,68.23859667929509,5.0,21.716774636724743,37.447679650353116,31.530824937203512,61.78213186955986,82.89599996033077,98.84943909183282,85.70280184948889,71.53500936974962,69.32045557535727,75.16820486791201,107.78922747889139,112.98230640315207,98.48111729884904,120.55957029192977,136.97273900225076,156.59116819790287,145.40305119327752,88.39839571692212,71.09846624245712,198.19307388111662,58.7120819829365,512.6368446610852,930.2258105672735,1538.5343118320677
Z04,60.45355275328124,62.82512750546687,21.716774636724743,5.0,20.862417987845788,22.86465913793742,48.24444826163824,67.93573751877443,82.89598890040428,73.03365556852933,61.88093739652228,61.689514859810544,62.06022270786922,92.65412052428552,99.35750589527773,90.00045590612231,104.67717094854548,123.86815011863862,143.5105127853394,130.46527957553437,72.58842092594571,55.18074133975668,188.5424837239023,73.56378550574604,522.8858543980007,920.4166008954278,1528.310298718787
Z05,48.86393047288218,59.06059767898007,37.447679650353116,20.862417987845788,5.0,24.30503929163745,35.89077217876678,53.26408808749145,67.26915892095377,60.75212700044852,53.50139667865118,55.61202222347459,49.60207311384176,77.63787351393292,85.6883189930227,81.74636715760087,89.06336454328736,110.51022344166093,130.07322926485946,115.49146995403083,59.68495331462649,42.4481036404879,178.0149716073035,89.06336454328626,534.9331172067436,909.1102594021952,1516.6042639306834
Z06,46.49315983778742,44.96488613386,31.530824937203512,22.86465913793742,24.30503929163745,5.0,36.134579460476886,58.27801677438798,75.89074833124351,59.3122400069411,45.340312918426164,44.196725759051965,49.01184439050658,83.07431068802232,86.8610139971302,72.96252315162978,97.11990594240501,110.59179859140315,130.18340621818595,120.19794400376314,78.127122009926,61.20806338869003,172.2442520252136,84.9536696722514,538.6688626770742,904.305193612946,1512.458307087446
Z07,18.0647442496131,39.77411298215509,61.78213186955986,48.24444826163824,35.89077217876678,36.134579460476886,5.0,27.628992094761927,46.588522017399654,29.96643620391292,26.54116936304324,32.58177217330572,18.863040208218667,52.09716481522002,56.28233064916127,52.87585748943296,66.91184968027457,80.63788708788955,100.28405151023148,89.06336454328626,66.61093557245302,53.82023961704687,147.17660387411922,115.49298512584515,565.586627779961,878.2484728516172,1485.8189134691206
Z08,24.668737890877107,55.361132326143554,82.89599996033077,67.93573751877443,53.26408808749145,58.27801677438798,27.628992094761927,5.0,24.76468681029013,23.267769739515888,38.16481580094846,46.73967052002459,20.348194222201215,29.90766356838062,38.449044059650454,53.71405249001131,44.29585540155011,63.380352776709614,82.62736804507816,67.56607165640737,61.20253252040748,54.371407420690794,135.71746356585683,136.33155795099603,581.8183563760101,863.6787973006863,1470.5062464663763
Z09,44.192089364973754,74.71567267153681,98.84943909183282,82.89598890040428,67.26915892095377,75.89074833124351,46.588522017399654,24.76468681029013,5.0,39.194006816304274,57.34068049593784,66.0248689145364,39.837253940613806,20.346750153007108,37.89120788409478,67.84822073098687,26.794205622333596,59.67254981441804,76.92576683602209,55.14598571569464,56.010023217049905,55.64829464681529,135.89732336296586,151.33252346424007,590.1979409628984,858.0818249544426,1463.9167970800322
Z10,17.82062319388165,42.73148541982348,85.70280184948889,73.03365556852933,60.75212700044852,59.3122400069411,29.96643620391292,23.267769739515888,39.194006816304274,5.0,25.79441078369157,34.1919560524436,16.150053993599833,35.887752324242484,33.021121514428756,35.44628287215483,53.193874741041114,56.28195220255316,75.88925353681033,68.44847383381455,79.127449383587,70.79399034625655,122.74069126499651,139.26557583174994,590.5529682559853,853.3628245950982,1460.8726871603471
