,Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z09,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27
Z01,0.0,18.419021080016723,40.7327886390277,33.27213165196874,26.318358283729307,24.89589590267245,7.83884654976786,11.801242734526266,23.51525361898425,7.692373916328991,8.207471772155952,13.26643246163847,2.6129012724880214,24.206174730991602,24.353576045929238,21.439593826752752,34.11201933840202,38.461545213591236,50.22452535724737,45.16740147208155,42.01900370683639,35.507786070855126,77.49269964422561,72.86747263066067,343.92959891312995,516.2465544866265,880.8514412591903
Z02,18.419021080016723,0.0,37.943158007577054,34.69507650328012,32.436358607388044,23.978931680316002,20.86446778929305,30.216679395686132,41.829403602922085,22.638891251894087,10.452033078829096,5.226064056135657,21.00874071606529,41.16621280068912,37.726708108740425,19.46817807763669,51.51122256169903,48.87811477368273,59.806292152730435,59.5352679106733,57.7358856031039,49.472524218600476,79.01533517300177,67.3707099921483,341.923634859594,517.8241544021505,883.0009487916201
Z03,40.7327886390277,37.943158007577054,0.0,10.030064782034847,19.46860779021187,15.918494962322107,34.06927912173592,46.73759997619846,56.30966345509969,48.42168110969334,39.92100562184977,38.592273345214366,42.10092292074721,61.67353648733483,64.78938384189124,56.08867037930943,69.33574217515786,79.18364340135047,90.95470091874174,84.24183071596651,50.03903743015327,39.65907974547427,115.91584432866998,32.2272491897619,304.5821067966511,555.1354863403641,920.1205870992407
Z04,33.27213165196874,34.69507650328012,10.030064782034847,0.0,9.517450792707473,10.718795482762452,25.946668956982943,37.761442511264654,46.73759334024256,40.820193341117594,34.12856243791337,34.013708915886326,34.23613362472153,52.59247231457131,56.614503537166634,51.00027354367338,59.80630256912729,71.32089007118317,83.10630767120362,75.27916774532062,40.553052555567426,30.10844480385401,110.12549023434138,41.13827130344763,310.7315126388004,549.2499605372567,913.9861792312721
Z05,26.318358283729307,32.436358607388044,19.46860779021187,9.517450792707473,0.0,11.58302357498247,18.53446330726007,28.95845285249487,37.36149535257226,33.45127620026911,29.10083800719071,30.367213334084752,26.761243868305055,43.582724108359756,48.41299139581362,46.04782029456052,50.43801872597242,63.306134064996556,75.04393755891567,66.2948819724185,32.8109719887759,22.46886218429274,103.80898296438211,50.43801872597175,317.9598703240462,542.4661556413171,906.9625583584101
Z06,24.89589590267245,23.978931680316002,15.918494962322107,10.718795482762452,11.58302357498247,0.0,18.68074767628613,31.96681006463279,42.534448998746115,32.58734400416466,24.2041877510557,23.51803545543118,26.40710663430395,46.84458641281339,49.116608398278125,40.77751389097787,55.271943565443,63.35507915484189,75.11004373091157,69.11876640225789,43.8762732059556,33.72483803321402,100.34655121512817,47.972201803350835,320.2013176062446,539.5831161677676,904.4749842524676
Z07,7.83884654976786,20.86446778929305,34.06927912173592,25.946668956982943,18.53446330726007,18.68074767628613,0.0,13.577395256857155,24.953113210439792,14.979861722347753,12.924701617825946,16.549063303983434,8.3178241249312,28.25829888913201,30.76939838949676,28.725514493659773,37.14710980816474,45.38273225273373,57.17043090613889,50.43801872597175,36.96656134347181,29.292143770228122,85.30596232447154,66.2957910755071,336.35197666797654,523.9490837109703,888.4913480814723
Z08,11.801242734526266,30.216679395686132,46.73759997619846,37.761442511264654,28.95845285249487,31.96681006463279,13.577395256857155,0.0,11.858812086174078,10.960661843709532,19.898889480569075,25.043802312014755,9.208916533320728,14.944598141028374,20.069426435790273,29.228431494006784,23.577513240930067,35.02821166602577,46.576420827046896,37.539642993844424,33.72151951224449,29.622844452414473,78.43047813951411,78.79893477059763,346.09101382560607,515.2072783804117,879.3037478798259
Z09,23.51525361898425,41.829403602922085,56.30966345509969,46.73759334024256,37.36149535257226,42.534448998746115,24.953113210439792,11.858812086174078,0.0,20.51640408978256,31.404408297562703,36.614921348721836,20.902352364368284,9.208050091804264,19.73472473045687,37.70893243859212,13.076523373400157,32.80352988865082,43.15546010161325,30.087591429416783,30.606013930229942,30.38897678808917,78.53839401777952,87.79951407854404,351.11876457773906,511.84909497266557,875.3500782480193
Z10,7.692373916328991,22.638891251894087,48.42168110969334,40.820193341117594,33.45127620026911,32.58734400416466,14.979861722347753,10.960661843709532,20.51640408978256,0.0,12.476646470214943,17.515173631466162,6.690032396159898,18.532651394545493,16.81267290865725,18.2677697232929,28.91632484462467,30.769171321531896,42.53355212208619,38.06908430028873,44.47646963015221,39.476394207753934,70.64441475899791,80.55934549904997,351.3317809535912,509.0176947570589,873.5236122962083
