,Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z09,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27
Z01,0.0,78.0715352914568,172.6794392578038,134.74563184477802,109.02858308067098,109.79566075337604,39.450189909617364,67.41122284562252,41.956195580027455,58.32334047962517,49.403854350482625,66.91643889959195,31.236043996942655,29.717058434942935,29.421154212849004,42.37921276818422,63.61446231388844,94.72165044112069,145.94174804593544,115.62477004575834,61.733117722871796,34.18294574235965,293.45090400055545,295.30238465694504,1465.939904679189,2290.4200122080624,3951.7361688162796
Z02,78.0715352914568,0.0,215.8531320300396,179.74620684168107,156.06527907323488,153.7814792642497,89.4825378299805,119.78099071924557,94.28203810893686,109.1887300742913,94.76074260608847,107.81302600450925,83.59731307722632,81.45565855206446,79.60420835759635,85.90774362714679,115.54351670680568,143.62252186785184,194.48058766148435,166.2392140983697,112.93259398927114,84.6225637504713,338.75884285237123,336.34854605004995,1509.1054794988868,2335.7613222946893,3997.4247085274565
Z03,172.6794392578038,215.8531320300396,0.0,253.98066060995774,235.3725245601129,235.21689668189558,180.1401291470505,211.87669063879468,185.49275761058573,205.3010569763373,192.4716691420315,207.2140807211407,177.67544788480814,175.28015573702854,176.27158780762642,186.72009454821955,220.23218168633346,255.43217872441176,308.6976974126897,276.4981886783741,194.52569011267556,165.29774821308533,446.0937383850885,394.3520186365407,1571.3648524345904,2443.345645945381,4104.892646759574
Z04,134.74563184477802,179.74620684168107,253.98066060995774,0.0,196.35865336704705,198.26360655528532,141.9192502028819,173.28565087567014,146.64328634111686,167.30617498969457,155.26132179668645,170.53016038672274,139.56637901126112,136.64362071795745,138.02804069051095,149.81507342535164,169.37356939285894,215.9600457889886,269.2342830988629,236.35825346123175,155.71355172801827,126.45757280956103,407.8798478428531,363.51817409883785,1540.4001018537879,2405.0739725799585,4066.4698664262005
Z05,109.02858308067098,156.06527907323488,235.3725245601129,196.35865336704705,0.0,175.93701760821426,116.00339152078458,146.7666460672004,119.87573965531786,141.40908938542543,130.37954935752288,146.24739025448926,113.62333589513851,110.03495021289308,111.76988072377813,124.96594410066176,142.6094114942222,177.41088586852572,241.6378909313787,196.70199419846537,129.6546350461718,100.44310676809502,381.3434438296399,344.84984608582727,1522.0873658490923,2378.2538521509714,4039.5041434397954
Z06,109.79566075337604,153.7814792642497,235.21689668189558,198.26360655528532,175.93701760821426,0.0,117.45079303918888,149.4552526451175,123.50307427860768,142.4183867811966,129.63996392113796,144.66104538997126,114.85371784080144,112.83349522370222,113.4589826189287,124.06431390645515,146.08971831868666,178.81607392402003,243.06198869009063,211.30058991506303,135.83732448341823,106.70848673441307,380.62521499330734,345.1644485746908,1524.8322064247127,2377.8873971963158,4039.377792458331
Z07,39.450189909617364,89.4825378299805,180.1401291470505,141.9192502028819,116.00339152078458,117.45079303918888,0.0,78.53197025205252,52.93023431745539,71.83420777949125,61.80006896346274,78.69050598561991,44.06059486286013,41.82483435690257,42.55400332746836,55.889400441394685,75.2811777077251,108.0736628165761,159.30448018327183,128.26097409597682,69.89248469417876,41.8378637612824,308.5451478077565,290.1626220326167,1471.6896826388263,2305.447024988466,3966.7251608525744
Z08,67.41122284562252,119.78099071924557,211.87669063879468,173.28565087567014,146.7666460672004,149.4552526451175,78.53197025205252,0.0,73.49423015515926,96.33383425943151,91.06723604553268,108.61709575824848,70.68968483462366,62.29368239855428,64.15635620342495,82.3501490372214,95.63905052169241,129.8258287853637,180.95278591301533,148.90993757823048,94.72784298039417,68.22392670892722,330.6133935309331,335.4967535430021,1503.845316320002,2326.382147158956,3987.389621851333
Z09,41.956195580027455,94.28203810893686,185.49275761058573,146.64328634111686,119.87573965531786,123.50307427860768,52.93023431745539,73.49423015515926,0.0,69.94282314555727,65.52179130170053,83.10010008929206,45.225734714233255,29.270810697433816,33.47612194735913,55.49283429770199,60.54996680753119,98.32596031438192,148.9341230002734,115.14309751592482,62.84164785944113,38.02109497064552,300.14383087929036,310.4263079736657,1476.3627962703506,2293.8081670836636,3954.454096568575
Z10,58.32334047962517,109.1887300742913,205.3010569763373,167.30617498969457,141.40908938542543,142.4183867811966,71.83420777949125,96.33383425943151,69.94282314555727,0.0,80.54243119824282,98.04615426827226,62.291336641524786,56.54375093100451,55.43801363202181,70.29082584997963,90.64837650192369,120.67282101255407,171.8935260451053,141.8335672560828,92.0860045407689,65.19117484675958,318.5801657938406,329.2595993720691,1499.7212356773568,2315.3182107029984,3976.574278848072
