,Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z09,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27
Z01,0.0,39.78031775756026,40.39129267579516,37.04199709886649,43.05351084161511,62.45781883073266,26.126037645502183,49.50780951958609,41.83324356847927,32.797768470036424,26.169981180549765,37.54581173427235,31.236043996942655,25.847682251431518,29.421154212849004,42.37921276818422,63.61446231388844,90.55802293182289,126.19808186308083,71.82047692367429,61.733117722871796,34.18294574235965,155.4699951728113,61.703753508696586,425.98611508642176,542.0609476775061,397.3520070213136
Z02,39.78031775756026,0.0,45.273767914134446,43.751354561872986,51.79898930028245,68.15241980770975,37.86716803196876,63.586359859312594,55.867868563492145,45.371940530806015,33.23565190225908,40.15118130529311,45.30609554332978,39.2950648346565,41.312990823699806,47.61652609325024,77.25229917290912,101.16767682465752,136.44570394473322,84.1437034423891,74.64137645537458,46.33134621657476,162.22258583777958,65.41221741744279,431.2084457284485,548.8373749387681,404.3764554429684
Z03,40.39129267579516,45.273767914134446,0.0,23.98887928203757,37.10930573904843,55.59090817724354,34.52783030092667,61.685130730749606,53.08165901702888,47.4873383847399,36.94964939009001,45.55530697381247,45.38730130279952,39.122632971508494,43.98344122561779,54.431947966210906,75.91640635965456,105.24446649205478,140.88802836600397,85.79237017661376,62.23754353066694,33.00960163107669,169.1594435912995,41.105516770785954,405.94850162695855,555.952395633698,411.4083436960595
Z04,37.04199709886649,43.751354561872986,23.98887928203757,0.0,32.67994638207965,53.2221298867304,30.891463192855188,57.67860280372216,48.81669958365714,44.07696823419427,34.323813880842046,43.45589847549161,41.86274426534957,35.07060978853448,40.32440594459944,52.11143867944014,71.66993464694738,101.72079239898218,137.37058185978586,81.79169445374177,58.009916982106716,28.7539380636495,166.53451406478962,44.85618406918025,408.5015292157579,553.2861926620545,408.6342071758792
Z05,43.05351084161511,51.79898930028245,37.10930573904843,32.67994638207965,0.0,62.624103446515,36.70416701761354,62.88816050210812,53.7777154047138,49.9084451367808,41.170603948534165,50.90169085011378,47.648263656082634,40.19050179032581,45.794808484722274,58.990871861605896,76.63433925516635,107.27218612017207,142.901326606391,86.92262883732545,63.679562807115914,34.468034529039166,172.82239320730258,57.91641856302531,420.6634569357834,559.371417221872,414.61542990897004
Z06,62.45781883073266,68.15241980770975,55.59090817724354,53.2221298867304,62.624103446515,0.0,56.78879885243032,84.21399739643769,76.0422803444161,69.55497284896444,59.0682488285617,67.95257630200828,67.51587591815803,61.626277117547396,66.1211406962853,76.72647198381176,98.75187639604326,127.31460449207884,162.95118728433246,108.168464780148,88.49948256077481,59.37064481176968,191.34202060306933,76.8682513683013,441.65670534008814,578.1423116759797,433.5578272010709
Z07,26.126037645502183,37.86716803196876,34.52783030092667,30.891463192855188,36.70416701761354,56.78879885243032,0.0,47.3044046619009,39.483130041792016,32.9844835057873,25.2420435294147,35.995726556185105,30.73644259874494,24.631305909275966,29.229851063353166,42.5652481772795,61.95702544360992,90.58588304316316,126.23666173630203,71.13252870977757,56.56833243006358,28.51371149716721,155.88472482238518,55.88011448475538,419.72622627345004,542.4276551650815,397.6915568345256
Z08,49.50780951958609,63.586359859312594,61.685130730749606,57.67860280372216,62.88816050210812,84.21399739643769,47.3044046619009,0.0,55.46786481757464,52.90484892380634,49.92994954956341,61.343055266892456,52.78627150858724,40.52089288900643,46.25294287738852,64.446735711185,77.735637195656,107.7587879500295,143.3057064041243,87.20223113011002,76.82442965435774,50.32051338289079,174.56639551572496,82.96578196280986,445.61317407964646,560.2999518922168,415.3705241532809
Z09,41.83324356847927,55.867868563492145,53.08165901702888,48.81669958365714,53.7777154047138,76.0422803444161,39.483130041792016,55.46786481757464,0.0,44.294299124420334,42.1649661202195,53.60652091242428,45.102782702685076,25.278482502374217,33.353169935810946,55.36988228615381,60.427014795983006,94.03938079353595,129.06750480587058,71.2158523822926,62.71869584789295,37.898142959097335,161.8585740772387,74.11447272597097,435.03895449972515,546.0889751511235,400.9013008354267
Z10,32.797768470036424,45.371940530806015,47.4873383847399,44.07696823419427,49.9084451367808,69.55497284896444,32.9844835057873,52.90484892380634,44.294299124420334,0.0,31.782986018721232,43.14995509336391,36.76576463193604,27.14880273790434,29.91244162243305,44.765253840390876,65.12280449233496,90.98362149366754,126.62428785266191,72.50370212441001,66.56043253118015,39.66560283717082,156.26165274272068,68.80109173706232,432.9578220883901,542.687560034309,397.9356990472989
Z11,26.169981180549765,33.23565190225908,36.94964939009001,34.323813880842046,41.170603948534165,59.0682488285617,25.2420435294147,49.92994954956341,42.1649661202195,31.782986018721232,0.0,30.969281532676153,31.660882782133257,25.65728816967484,28.152296315926357,37.366403835796014,63.583640690523964,88.62922998052883,124.13533838174405,70.92407571474607,61.87432980225809,33.98999915725232,151.79776615374504,57.944847825232316,423.10170767242425,538.5960100766891,394.0123500334937
Z12,37.54581173427235,40.15118130529311,45.55530697381247,43.45589847549161,50.90169085011378,67.95257630200828,35.995726556185105,61.343055266892456,53.60652091242428,43.14995509336391,30.969281532676153,0.0,43.06306649544,37.06160437523466,39.282552222099504,46.76959483852063,75.00634333006036,99.42992804690482,134.82627569713986,82.10257162718177,72.80736188863679,44.685029338475495,161.5305274735358,66.19617834826803,431.72969935353876,548.2968771434784,403.779165044621
Z13,31.236043996942655,45.30609554332978,45.38730130279952,41.86274426534957,47.648263656082634,67.51587591815803,30.73644259874494,52.78627150858724,45.102782702685076,36.76576463193604,31.660882782133257,43.06306649544,0.0,29.21088025183424,33.11221101442782,47.29682066681696,66.92886709221726,94.3905673843299,130.0412225236699,75.33557448793844,65.36217366143529,38.01244934672019,159.77055604322294,66.73090479659488,430.7039663209936,546.2296960253177,401.47700460105
Z14,25.847682251431518,39.2950648346565,39.122632971508494,35.07060978853448,40.19050179032581,61.626277117547396,24.631305909275966,40.52089288900643,25.278482502374217,27.14880273790434,25.65728816967484,37.06160437523466,29.21088025183424,0.0,13.330694878344381,36.96687898154775,43.002903030158656,73.76233123586513,108.86439121014827,51.73228578951854,50.41862539183394,25.49368123359909,141.59286464086023,60.3835232368955,422.33736723659104,525.9750773283957,380.8578861332549
Z15,29.421154212849004,41.312990823699806,43.98344122561779,40.32440594459944,45.794808484722274,66.1211406962853,29.229851063353166,46.25294287738852,33.353169935810946,29.91244162243305,28.152296315926357,39.282552222099504,33.11221101442782,13.330694878344381,0.0,37.00717004416471,50.265606375523895,73.53361888737031,109.13065260078294,54.84986482213996,58.40463659139139,32.93691359830518,140.73103486219267,65.33248436728653,428.75092367575024,526.0705103414158,381.1379502360581
