,Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z09,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27
Z01,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,106.76999975739508,145.2336059121934,226.61862528106928
Z02,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,106.32223992401651,145.58574875048004,227.0984260695581
Z03,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,97.98707740996677,153.91417105811695,235.38405962036623
Z04,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,99.35971264258936,152.60043761992335,234.0147721498375
Z05,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,100.9731853401889,151.08619545565116,232.44699963357368
Z06,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,101.47350839425103,150.44265985887668,231.89173755635437
Z07,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,105.07856622053046,146.95292047119872,228.32396162532868
Z08,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,107.25245844321564,145.00162463848477,226.27315800888974
Z09,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,108.37472423610248,144.25203012782714,225.39064246607575
Z10,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,108.42227253428375,143.62002115112924,224.98294917326078
Z11,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,106.87561077208674,145.04041462484562,226.48991666217583
Z12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,106.59051423735674,145.30753336215412,226.7909791943642
Z13,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,106.93221762774535,145.11319729671123,226.4756978879013
Z14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,110.21922846164787,142.28137450652287,223.4562649215283
Z15,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,111.71393872794796,140.52410947995725,221.79403060293922
Z16,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,110.50001956063865,141.39818645610552,222.88185069166224
Z17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,111.00833526042284,141.90829777898082,222.94509638869783
Z18,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,115.05680268539577,137.19811671674188,218.4549751951311
Z19,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,117.64885798019232,134.6859280542801,215.9042269313486
Z20,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,115.07040866080291,137.7722722073375,218.81416783475672
Z21,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,102.58356933303853,150.67327934425333,231.6586390262476
Z22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,101.72677835473131,151.0346448302696,232.15708124843056
Z23,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,123.86098673184668,128.04470482106137,209.51184245359812
Z24,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,91.36398254170689,160.59003241151524,242.12079233285925
Z25,106.76999975739508,106.32223992401651,97.98707740996677,99.35971264258936,100.9731853401889,101.47350839425103,105.07856622053046,107.25245844321564,108.37472423610248,108.42227253428375,106.87561077208674,106.59051423735674,106.93221762774535,110.21922846164787,111.71393872794796,110.50001956063865,111.00833526042284,115.05680268539577,117.64885798019232,115.07040866080291,102.58356933303853,101.72677835473131,123.86098673184668,91.36398254170689,0.0,221.89775595135873,303.3651044371048
Z26,145.2336059121934,145.58574875048004,153.91417105811695,152.60043761992335,151.08619545565116,150.44265985887668,146.95292047119872,145.00162463848477,144.25203012782714,143.62002115112924,145.04041462484562,145.30753336215412,145.11319729671123,142.28137450652287,140.52410947995725,141.39818645610552,141.90829777898082,137.19811671674188,134.6859280542801,137.7722722073375,150.67327934425333,151.0346448302696,128.04470482106137,160.59003241151524,221.89775595135873,0.0,111.59202984261563
Z27,226.61862528106928,227.0984260695581,235.38405962036623,234.0147721498375,232.44699963357368,231.89173755635437,228.32396162532868,226.27315800888974,225.39064246607575,224.98294917326078,226.48991666217583,226.7909791943642,226.4756978879013,223.4562649215283,221.79403060293922,222.88185069166224,222.94509638869783,218.4549751951311,215.9042269313486,218.81416783475672,231.6586390262476,232.15708124843056,209.51184245359812,242.12079233285925,303.3651044371048,111.59202984261563,0.0
